id,name,ima_formula,groupid,entrytype_text,colour,hmin,hmax,lustre,csystem,shortcode_ima
27,Admontite,MgB<sub>6</sub>O<sub>10</sub> &middot; 7H<sub>2</sub>O,0,mineral,Colourless,2.0,3.0,,Monoclinic,Amt
31,Aegirine,NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>,7630,mineral,"Dark green to greenish black, reddish brown, black",6.0,6.0,"Vitreous, resious",Monoclinic,Aeg
32,Aegirine-augite,"(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>",7630,mineral,,6.0,6.0,,Monoclinic,Aeg-Aug
33,Aenigmatite,Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>],40089,mineral,Velvet-black,5.5,6.0,Vitreous,Triclinic,Aen
34,Aerinite,"(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>) &middot; 12H<sub>2</sub>O",0,mineral,Blue to blue-green,3.0,3.0,,Trigonal,Aer
36,Aerugite,Ni<sub>8.5</sub>(AsO<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>,0,mineral,"Dark grass-green, blue-green, pale brown.",4.0,4.0,,Trigonal,Aru
37,Aeschynite-(Ce),"(Ce,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>",42265,mineral,"Black, brown, light brown to yellow",5.0,6.0,Sub-metallic to resinous,Orthorhombic,Aes-Ce
38,Aeschynite-(Nd),"(Nd,Ln,Ca)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>",42265,mineral,"Dark to pale brown, brownish black",5.0,6.0,Adamantine,Orthorhombic,Aes-Nd
39,Aeschynite-(Y),"(Y,Ln,Ca,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>",42265,mineral,"Pale yellow, yellow-orange, pale greenish yellow, black, brownish black",5.0,6.0,Sub-metallic to resinous,Orthorhombic,Aes-Y
41,Afghanite,"(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>",29279,mineral,"White, light blue, dark blue",5.5,6.0,,Trigonal,Afg
42,Afwillite,Ca<sub>3</sub>[SiO<sub>4</sub>][SiO<sub>2</sub>(OH)<sub>2</sub>] &middot; 2H<sub>2</sub>O,0,mineral,"Colourless, white; rarely blue",3.0,4.0,Vitreous,Monoclinic,Afw
43,Agardite-(Nd),NdCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub> &middot; 3H<sub>2</sub>O,29312,mineral,"Grass-green, greenish, greenish-blue",3.0,4.0,,Hexagonal,Agr-Nd
44,Agardite-(Y),YCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub> &middot; 3H<sub>2</sub>O,29312,mineral,bluish green to yellow green,3.0,4.0,Vitreous,Hexagonal,Agr-Y
48,Agardite-(Ce),CeCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub> &middot; 3H<sub>2</sub>O,29312,mineral,"Light green, yellowish green",3.0,4.0,Vitreous,Hexagonal,Agr-Ce
50,Agardite-(La),LaCu<sup>2+</sup><sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub> &middot; 3H<sub>2</sub>O,29312,mineral,"Grass-green to dull green, yellowish green to intense bluish green, rarely nearly colourless.",3.0,4.0,Vitreous,Hexagonal,Agr-La
57,Agrellite,NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F,0,mineral,White to greyish or greenish white.,5.5,5.5,Pearly,Triclinic,Are
58,Agrinierite,K<sub>2</sub>Ca[(UO<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>]<sub>2</sub> &middot; 5H<sub>2</sub>O,0,mineral,Orange,0.0,0.0,,Monoclinic,Agn
59,Aguilarite,Ag<sub>4</sub>SeS,46605,mineral,Bright lead-gray on fresh surfaces,2.5,2.5,Metallic,Monoclinic,Agu
60,Aheylite,Fe<sup>2+</sup>Al<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub> &middot; 4H<sub>2</sub>O,29340,mineral,"Very pale blue, pale green, to blue-green",5.0,5.5,,Triclinic,Ahe
61,Ahlfeldite,Ni(SeO<sub>3</sub>) &middot; 2H<sub>2</sub>O,0,mineral,"apple-green, brown, pink, yellowish",2.0,2.5,Vitreous,Monoclinic,Afe
63,Aikinite,CuPbBiS<sub>3</sub>,0,mineral,Blackish lead-grey,2.0,2.5,Metallic,Orthorhombic,Aik
66,Ajoite,K<sub>3</sub>Cu<sup>2+</sup><sub>20</sub>Al<sub>3</sub>Si<sub>29</sub>O<sub>76</sub>(OH)<sub>16</sub> &middot; 8H<sub>2</sub>O,0,mineral,Bluish green,0.0,0.0,,Triclinic,Aj
67,Akaganeite,"(Fe<sup>3+</sup>,Ni<sup>2+</sup>)<sub>8</sub>(OH,O)<sub>16</sub>Cl<sub>1.25</sub> &middot; nH<sub>2</sub>O",0,mineral,"Yellowish brown, rusty brown",0.0,0.0,,Monoclinic,Akg
68,Akatoreite,Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>,0,mineral,Yellow-orange to orange-brown,6.0,6.0,Vitreous,Triclinic,Akt
69,Akdalaite,Al<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>,471244,mineral,"White, pale greenish yellow in thin section",7.0,7.5,"Vitreous, porcelanous",Hexagonal,Akd
70,Åkermanite,Ca<sub>2</sub>MgSi<sub>2</sub>O<sub>7</sub>,29310,mineral,"Colorless, yellowish gray, green, brown",5.0,6.0,,Tetragonal,Åk
71,Akhtenskite,MnO<sub>2</sub>,39941,mineral,Light grey to black,0.0,0.0,,Hexagonal,Akh
72,Akrochordite,MnMn<sub>2</sub>Mn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>4</sub>,471655,mineral,"Yellowish red-brown, pale to dark brown, pale pink,",3.5,3.5,,Monoclinic,Akr
73,Aksaite,MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub> &middot; 2H<sub>2</sub>O,0,mineral,"Colorless, white to pale gray",2.5,2.5,,Orthorhombic,Aks
74,Aktashite,Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>,0,mineral,Gray-black,3.5,3.5,Metallic,Trigonal,Ats
87,Aluminocopiapite,"(Al,Mg)Fe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH,O)<sub>2</sub> &middot; 20H<sub>2</sub>O",29284,mineral,Pale lemon-yellow to deep yellow,2.0,3.0,"Vitreous, pearly on {010}",Triclinic,Acpi
89,Alabandite,MnS,40331,mineral,"Iron black, brown, greyish black, green; dull brown (tarnished)",3.5,4.0,,Isometric,Abd
91,Alacránite,As<sub>8</sub>S<sub>9</sub>,0,mineral,Orange to pale gray with rose-yellow internal reflections,1.5,1.5,Adamantine,Monoclinic,Acr
93,Alamosite,PbSiO<sub>3</sub>,0,mineral,"Colorless to white, cream, or light gray",4.5,4.5,,Monoclinic,Aam
94,Alarsite,Al(AsO<sub>4</sub>),0,mineral,"Colorless, with pale tints of yellow, green, blue due to inclusions",5.0,5.5,Vitreous,Trigonal,Ars
96,Albite,Na(AlSi<sub>3</sub>O<sub>8</sub>),9264,mineral,"White to gray or colorless, uncommonly blue tinted or rarely green or red tinted, while much included albite may be strongly colored",6.0,6.5,"Vitreous, pearly",Triclinic,Ab
97,Albrechtschraufite,MgCa<sub>4</sub>F<sub>2</sub>[UO<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>]<sub>2</sub> &middot; 17-18H<sub>2</sub>O,0,mineral,Yellow-green,2.0,3.0,Vitreous,Triclinic,Asf
104,Aldermanite,[Mg(H<sub>2</sub>O)<sub>6</sub>][Na(H<sub>2</sub>O)<sub>2</sub>Al<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>] &middot; H<sub>2</sub>O,0,mineral,Colorless in transmitted light,2.0,2.0,Pearly,Monoclinic,Adm
106,Ferro-taramite,Na(NaCa)(Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>,3889,mineral,Bluish green,0.0,0.0,,Monoclinic,Ftrm
107,Aluminium,Al,470958,mineral,Grayish-White,2.0,3.5,Metallic,Isometric,Al
108,Aleksite,PbBi<sub>2</sub>Te<sub>2</sub>S<sub>2</sub>,39723,mineral,"In polished section, very pale gray with slight greenish tint",2.5,2.5,Metallic,Trigonal,Alk
112,Alforsite,Ba<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>Cl,32275,mineral,Colorless,5.0,5.0,,Hexagonal,Afr
114,Algodonite,Cu<sub>1-x</sub>As<sub>x</sub> (x &#8776; 0.15),0,mineral,"Steel-gray to silver-white, tarnishes dull on exposure",4.0,4.0,Metallic,Hexagonal,Ago
115,Aliettite,"Ca<sub>0.2</sub>Mg<sub>6</sub>(Si,Al)<sub>8</sub>O<sub>20</sub>(OH)<sub>4</sub> &middot; 4H<sub>2</sub>O",470677,mineral,"Colorless, pale yellow or green",1.0,2.0,,Monoclinic,Ali
122,Allactite,Mn<sup>2+</sup><sub>7</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>8</sub>,40541,mineral,"Brown, dark to light purplish red, brownish red, colourless to white",4.5,4.5,"Vitreous, Greasy",Monoclinic,Ala
125,Allanite-(Ce),CaCe(Al<sub>2</sub>Fe<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH),46220,mineral,Brown to black,5.5,6.0,"Sub-metallic, pitchy, resinous",Monoclinic,Aln-Ce
126,Allanite-(La),CaLa(Al<sub>2</sub>Fe<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH),46220,mineral,"Black, with brownish reflections",6.0,6.0,,Monoclinic,Aln-La
127,Allanite-(Y),CaY(Al<sub>2</sub>Fe<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH),46220,mineral,Black,5.5,6.5,,Monoclinic,Aln-Y
128,Allargentum,Ag<sub>1-x</sub>Sb<sub>x</sub> (x &#8776; 0.09-0.16),0,mineral,Silver,3.5,3.5,Metallic,Hexagonal,All
129,Alleghanyite,Mn<sup>2+</sup><sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,46187,mineral,"Pinkish to reddish brown, deep pink, grayish pink",5.5,5.5,,Monoclinic,Alh
134,Alloclasite,CoAsS,29303,mineral,Steel gray to silver,5.0,5.0,Metallic,Monoclinic,Acl
139,Allophane,Al<sub>2</sub>O<sub>3</sub>(SiO<sub>2</sub>)<sub>1.3-2.0</sub> &middot; 2.5-3.0H<sub>2</sub>O,0,mineral,"White, pale blue to sky-blue, green, brown",3.0,3.0,"Vitreous, sub-resinous, waxy",Amorphous,Alp
141,Alluaivite,"Na<sub>19</sub>(Ca,Mn<sup>2+</sup>)<sub>6</sub>(Ti,Nb)<sub>3</sub>Si<sub>26</sub>O<sub>74</sub>Cl &middot; 2H<sub>2</sub>O",11021,mineral,Colorless to weak brownish pink,5.0,6.0,Vitreous,Trigonal,Aav
142,Alluaudite,&#9723;NaMnFe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>,29266,mineral,"Dirty yellow to brownish yellow, grayish green; surficially dull greenish black, brownish black, black, when altered",5.5,6.0,,Monoclinic,Ald
146,Alstonite,BaCa(CO<sub>3</sub>)<sub>2</sub>,0,mineral,"Colourless to snow white, yellow-gray; pale gray, pale cream, pink to pale rose-red",4.0,4.5,,Triclinic,Asn
147,Altaite,PbTe,40331,mineral,"Tin-white with a light yellow tint; yellow-brown, blue (tarnished)",2.0,3.0,,Isometric,Alt
148,Althausite,"Mg<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,O)(F,&#9723;)",0,mineral,"Pale gray, reddish brown; dark blue, green, black",3.5,4.0,,Orthorhombic,Ahs
149,Althupite,AlTh(UO<sub>2</sub>)<sub>7</sub>(PO<sub>4</sub>)<sub>4</sub>O<sub>2</sub>(OH)<sub>5</sub> &middot; 15H<sub>2</sub>O,46104,mineral,Yellow,3.5,4.0,,Triclinic,Ahp
150,Altisite,Na<sub>3</sub>K<sub>6</sub>Ti<sub>2</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>Cl<sub>3</sub>,0,mineral,Colourless,6.0,6.0,Vitreous,Monoclinic,Ati
154,Aluminite,Al<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>4</sub> &middot; 7H<sub>2</sub>O,39648,mineral,"White to yellow, grey; colourless in transmitted light.",1.0,2.0,,Monoclinic,A
157,Alumohydrocalcite,CaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub> &middot; 4H<sub>2</sub>O,40403,mineral,"Chalky white to pale blue, pale yellow, cream, gray; pale rose or brownish pink to dark violet in Cr-bearing varieties",2.5,2.5,,Triclinic,Ahcal
158,Pharmacoalumite,KAl<sub>4</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub> &middot; 6.5H<sub>2</sub>O,40520,mineral,"White, pale yellow",2.5,2.5,,Isometric,Pal
159,Alumotantite,AlTaO<sub>4</sub>,0,mineral,Colourless to white,7.5,7.5,,Orthorhombic,Atan
161,Alunite,KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,39819,mineral,"white, pale shades of gray, yellow, red, to reddish brown",3.5,4.0,,Trigonal,Alu
162,Alunogen,Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>(H<sub>2</sub>O)<sub>12</sub> &middot; 5H<sub>2</sub>O,0,mineral,"Colorless in crystals, aggregates white, or pale yellow or red from impurities.",1.5,2.0,"Vitreous, silky in fibrous masses.",Triclinic,Alg
165,Alvanite,Zn<sup>2+</sup>Al<sub>4</sub>(V<sup>5+</sup>O<sub>3</sub>)<sub>2</sub>(OH)<sub>12</sub> &middot; 2H<sub>2</sub>O,0,mineral,Pale bluish green to bluish black.,3.0,3.5,,Monoclinic,Alv
180,Amakinite,Fe(OH)<sub>2</sub>,29278,mineral,"Pale green to yellow-green; rapidly turns brown when exposed to air, due to formation of Fe(OH)3",3.5,4.0,,Trigonal,Amk
182,Amarantite,Fe<sup>3+</sup><sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub> &middot; 7H<sub>2</sub>O,0,mineral,Amaranth-red to brownish red and red-orange,2.5,2.5,,Triclinic,Ama
183,Amarillite,NaFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub> &middot; 6H<sub>2</sub>O,0,mineral,Pale yellow with greenish tint.,2.5,3.0,,Monoclinic,Amr
189,Amblygonite,LiAl(PO<sub>4</sub>)F,29268,mineral,"Milk-white, yellow, beige, salmon-pink, pale green, light blue, grey; colourless in transmitted light.",5.5,6.0,"Vitreous, greasy",Triclinic,Aby
195,Ameghinite,NaB<sub>3</sub>O<sub>3</sub>(OH)<sub>4</sub>,0,mineral,Colourless,2.0,3.0,,Monoclinic,Agh
197,Amesite,Mg<sub>2</sub>Al(AlSiO<sub>5</sub>)(OH)<sub>4</sub>,11135,mineral,"Commonly pale grayish blue-green, also white, colourless, pale green, pink to lilac (chromian)",2.5,3.0,,Triclinic,Ame
199,Amicite,K<sub>2</sub>Na<sub>2</sub>(Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>) &middot; 5H<sub>2</sub>O,4395,mineral,Colorless,4.5,4.5,,Monoclinic,Ami
200,Aminoffite,Ca<sub>3</sub>(BeOH)<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>,0,mineral,Colorless to light yellowish.,5.5,6.0,,Tetragonal,Amf
203,Ammonioalunite,(NH<sub>4</sub>)Al<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,39819,mineral,Grayish white,2.0,3.0,,Trigonal,Aalu
204,Ammonioborite,(NH<sub>4</sub>)<sub>3</sub>B<sub>15</sub>O<sub>20</sub>(OH)<sub>8</sub> &middot; 4H<sub>2</sub>O,0,mineral,White; colourless in transmitted light,0.0,0.0,,Monoclinic,Abo
205,Ammoniojarosite,(NH<sub>4</sub>)Fe<sup>3+</sup><sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,39819,mineral,Light yellow; light yellow to nearly colourless in transmitted light.,3.5,4.5,,Trigonal,Ajrs
206,Ammonioleucite,(NH<sub>4</sub>)(AlSi<sub>2</sub>O<sub>6</sub>),4395,mineral,White,5.5,6.0,,Tetragonal,Alct
208,Amstallite,"CaAl[(Al,Si)<sub>4</sub>O<sub>8</sub>(OH)<sub>2</sub>](OH)<sub>2</sub> &middot; (H<sub>2</sub>O,Cl)",0,mineral,Colourless,3.0,5.0,,Monoclinic,Ams
210,Analcime,Na(AlSi<sub>2</sub>O<sub>6</sub>) &middot; H<sub>2</sub>O,4395,mineral,"White, colourless, gray, pink, green, yellow",5.0,5.5,Vitreous,Triclinic,Anl
211,Anapaite,Ca<sub>2</sub>Fe<sup>2+</sup>(PO<sub>4</sub>)<sub>2</sub> &middot; 4H<sub>2</sub>O,0,mineral,"Green, greenish-white, milky white, colorless; colourless to light green in transmitted light.",3.5,3.5,Vitreous,Triclinic,Anp
213,Anatase,TiO<sub>2</sub>,0,mineral,"Brown, pale yellow or reddish brown, indigo, black; pale green, pale lilac, grey, rarely nearly colourless; brown, yellow-brown, pale green, blue in transmitted light.",5.5,6.0,Adamantine to metallic-adamantine in darker colored specimens.,Tetragonal,Ant
216,Ancylite-(Ce),CeSr(CO<sub>3</sub>)<sub>2</sub>(OH) &middot; H<sub>2</sub>O,39436,mineral,"Light yellow, orange-yellow, yellow-brown, grey",4.0,4.5,,Orthorhombic,Anc-Ce
217,Andalusite,Al<sub>2</sub>SiO<sub>5</sub>,0,mineral,"Pink to red brown, occasionally yellow, green, white, gray rarely violet",6.5,7.5,Vitreous,Orthorhombic,And
219,Andersonite,Na<sub>2</sub>Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub> &middot; 5-6H<sub>2</sub>O,0,mineral,Bright green to yellow-green.,2.5,2.5,Vitreous,Trigonal,Anr
223,Andradite,Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,10272,mineral,"Yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored",6.5,7.0,"Vitreous, Resinous",Isometric,Adr
225,Andrémeyerite,BaFe<sup>2+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>),0,mineral,light emerald-green,5.5,5.5,,Monoclinic,Amy
227,Anduoite,RuAs<sub>2</sub>,29303,mineral,lead gray,6.5,7.0,Metallic,Orthorhombic,Adu
231,Angelellite,Fe<sup>3+</sup><sub>4</sub>O<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>,0,mineral,"Reddish brown, blackish brown, dark brown",5.5,5.5,"Adamantine, Sub-metallic",Triclinic,Agl
233,Anglesite,Pb(SO<sub>4</sub>),29275,mineral,"Colorless to white, often tinted grey, yellow, green or  blue; colourless in transmitted light.",2.5,3.0,"Adamantine to resinous, or vitreous.",Orthorhombic,Ang
234,Anhydrite,Ca(SO<sub>4</sub>),0,mineral,"Colourless, bluish, blue-grey, violet, burgundy-red, white, rose-pink, brownish, reddish, grey, dark grey; colourless in transmitted light",3.0,3.5,"Vitreous, greasy",Orthorhombic,Anh
235,Anhydrokainite,KMg(SO<sub>4</sub>)Cl,0,mineral,,0.0,0.0,,,Ahk
236,Anilite,Cu<sub>7</sub>S<sub>4</sub>,0,mineral,Bluish-Grey,3.0,3.0,Metallic,Orthorhombic,Ani
239,Ankerite,"Ca(Fe<sup>2+</sup>,Mg)(CO<sub>3</sub>)<sub>2</sub>",29288,mineral,"Brown, white to grey, yellowish-brown, tan, fawn, greenish",3.5,4.0,"Vitreous, pearly on cleavage surfaces.",Trigonal,Ank
240,Annabergite,Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub> &middot; 8H<sub>2</sub>O,29342,mineral,"Green, light grey to light apple green, white; pale rose red when rich in cobalt.",1.5,2.5,"Weakly adamantine, vitreous, earthy when powdery.",Monoclinic,Anb
241,Annite,KFe<sup>2+</sup><sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>,677,mineral,"Black, brown",2.5,3.0,"Adamantine, Vitreous",Monoclinic,Ann
246,Anorthite,Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>),9264,mineral,"Colourless, reddish grey, white",6.0,6.5,,Triclinic,An
251,Antarcticite,CaCl<sub>2</sub> &middot; 6H<sub>2</sub>O,0,mineral,Colourless,2.0,3.0,,Trigonal,Atc
252,Anthoinite,AlWO<sub>3</sub>(OH)<sub>3</sub>,0,mineral,White (when free of iron),1.0,1.0,,Triclinic,Atn
253,Anthonyite,Cu(OH)<sub>2</sub> &middot; 3H<sub>2</sub>O,0,mineral,Lavender,2.0,2.0,,Monoclinic,Aty
254,Anthophyllite,&#9723;Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,43520,mineral,"White, greenish grey, green, clove brown, or brownish green",5.5,6.0,"Vitreous, silky",Orthorhombic,Ath
260,Antigorite,Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>,11135,mineral,"Green, green-blue, white, brown, black",3.5,4.0,,Monoclinic,Atg
262,Antimony,Sb,29270,mineral,Tin-white,3.0,3.5,Metallic,Trigonal,Sb
266,Antimonselite,Sb<sub>2</sub>Se<sub>3</sub>,46738,mineral,Black,3.5,3.5,Metallic,Orthorhombic,Atm
268,Antlerite,Cu<sup>2+</sup><sub>3</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>,0,mineral,"Emerald-green to blackish-green, also light green.",3.5,3.5,Vitreous,Orthorhombic,Atl
271,Anyuiite,AuPb<sub>2</sub>,0,mineral,Silvery grey,3.5,3.5,Metallic,Tetragonal,Any
272,Apachite,Cu<sup>2+</sup><sub>9</sub>Si<sub>10</sub>O<sub>29</sub> &middot; 11H<sub>2</sub>O,0,mineral,"Blue (""faience-blue"")",2.0,2.0,,Monoclinic,Apa
280,Aphthitalite,K<sub>3</sub>Na(SO<sub>4</sub>)<sub>2</sub>,55731,mineral,"Colourless (rare), white, grey, bluish, greenish, reddish; colourless in transmitted light",3.0,3.0,,Trigonal,Att
281,Apjohnite,Mn<sup>2+</sup>Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub> &middot; 22H<sub>2</sub>O,29294,mineral,"Colourless, white, light pink, light yellow, light green",1.5,2.0,,Monoclinic,Apj
282,Aplowite,Co(SO<sub>4</sub>) &middot; 4H<sub>2</sub>O,29329,mineral,Bright pink,3.0,3.0,Vitreous,Monoclinic,Apw
285,Apuanite,(Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>)(Fe<sup>3+</sup><sub>2</sub>Sb<sup>3+</sup><sub>4</sub>)O<sub>12</sub>S,0,mineral,Black,4.0,5.0,,Tetragonal,Apu
290,Argentojarosite,AgFe<sup>3+</sup><sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,39819,mineral,Yellow-brown to brown.,3.5,4.5,Brilliant.,Trigonal,Agjrs
291,Argentopentlandite,"Ag(Fe,Ni)<sub>8</sub>S<sub>8</sub>",29321,mineral,Bronze brown,3.5,3.5,,Isometric,Apn
292,Arsenogoyazite,SrAl<sub>3</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)(OH)<sub>6</sub>,43765,mineral,"White to colorless, pale yellow, pale green, grayish-green",4.0,4.0,Vitreous,Trigonal,Agoy
294,Arsenolite,As<sub>2</sub>O<sub>3</sub>,0,mineral,"White, bluish; reddish to yellowish if impure with realgar or orpiment; colourless in transmitted light",1.5,1.5,"Vitreous, Silky",Isometric,Aso
295,Arsenoflorencite-(La),LaAl<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,43765,mineral,Orange–red to pink.,3.5,3.5,,Trigonal,Aflo-La
299,Argentopyrite,AgFe<sub>2</sub>S<sub>3</sub>,0,mineral,"Bronze-brown, tarnishing to lead-grey to blue-gray.",3.5,4.0,Metallic,Monoclinic,Agpy
